created_at,text
2018-12-19 23:59:57,"b""RT @jeffsand: We're hiring Developer Advocates, Software Engineers, Product Managers and Technical Writers in #DevRel at Microsoft. Join ou\xe2\x80\xa6"""
2018-12-19 23:59:56,"b'RT @hshaban: Facebook bypassed privacy controls &amp; granted more intrusive access to user data to Amazon, Microsoft, Netflix, Spotify, Yahoo\xe2\x80\xa6'"
2018-12-19 23:59:49,b'Windows Sandbox on Windows.\nhttps://t.co/Q9MnxGdhF1'
2018-12-19 23:59:43,b'Going live! Today we dominate and collect those chicken dinners. Hungry up in this bish. Come chill!\xe2\x80\xa6 https://t.co/bkVXzzdgNB'
2018-12-19 23:59:37,"b'@SageRagnar @RAMH3MI @Razer @Microsoft @Xbox I have a 10,000 dpi mouse and hardly ever put it above 800dpi and keep\xe2\x80\xa6 https://t.co/WQyTSeE1K1'"
2018-12-19 23:59:36,b'RT @briankrebs: Microsoft has just released an emergency (unscheduled) patch to fix a zero-day security hole in Internet Explorer https://t\xe2\x80\xa6'
2018-12-19 23:59:33,"b""Microsoft's latest Windows 10 build kills passwords, simplifies Start, and adds fun 'kaomoji' | PCWorld https://t.co/RQQHlAXnrG"""
2018-12-19 23:59:32,b'RT @briankrebs: Microsoft has just released an emergency (unscheduled) patch to fix a zero-day security hole in Internet Explorer https://t\xe2\x80\xa6'
2018-12-19 23:59:32,b'RT @JasonLeopold: Facebook allowed Microsoft\xe2\x80\x99s Bing search engine to see the names of virtually all Facebook users\xe2\x80\x99 friends without consent\xe2\x80\xa6'
2018-12-19 23:59:28,b'New #XboxOne #XboxInsiders Preview Alpha Skip Ahead 1904 build System Update 181217.2000 https://t.co/sih5NMTSen'
2018-12-19 23:59:25,b'RT @videogamedeals: Follow CAG &amp; Retweet for a Chance to Win 1 of 5 Codes for Subnautica (X1) by @Subnautica. Ends 9PM ET. https://t.co/I94\xe2\x80\xa6'
2018-12-19 23:59:22,"b""Facebook's sharing of personal data extended well beyond what the social media giant had previously disclosed \xe2\x80\x93 pri\xe2\x80\xa6 https://t.co/wwv9fZd4Kt"""
2018-12-19 23:59:21,"b'""healthindmedia Thanks for sharing the importance of #AI in fraud detection!"" #Microsoft #Sante #GHT'"
2018-12-19 23:59:10,"b""RT @InfiniteAdvGame: It's time to begin your journey in the Infinite Labyrinth #RPG #AvailableNow #PS4 #XboxOne #Steam https://t.co/CHQ3oad\xe2\x80\xa6"""
2018-12-19 23:59:10,b'RT @VisualStudio: We are pleased to announce that the December release of the #Python Extension for #VSCode is now available! The new relea\xe2\x80\xa6'
2018-12-19 23:59:06,"b""RT @XBM_Network: Let's do a Christmas giveaway!\n\nRT and Follow to win a mystery digital #XboxOne Game! \n\nWinner picked 20th December \n\nGood\xe2\x80\xa6"""
2018-12-19 23:58:59,"b""RT @_fallinforyoo: Microsoft knows what's good ((STAN MONSTA X)) https://t.co/ZhkqAFPEB4"""
2018-12-19 23:58:58,b'New #XboxOne #XboxInsiders Preview Alpha Skip Ahead 1904 build System Update 181217.2000 \nSee: https://t.co/eNzKDJ6Uc0'
2018-12-19 23:58:58,"b'RT @profcarroll: NEW: Facebook data sharing scandal widens. \xe2\x80\x9dInternal documents show that the social network gave Microsoft, Amazon, Spotif\xe2\x80\xa6'"
2018-12-19 23:58:56,"b'RT @WDSecurity: Knowing that removable device usage is a concern for enterprise customers, Windows Defender ATP puts protections in place f\xe2\x80\xa6'"
2018-12-19 23:58:53,"b""RT @maryjofoley: Microsoft officially announces 'Windows Sandbox' for running applications in isolation: https://t.co/i686HQTmWd"""
2018-12-19 23:58:53,"b'RT @Razer: Built for couch and desktop gaming, we\xe2\x80\x99ve teamed up with @Microsoft to bring you the all-new Razer Turret for @Xbox One\xe2\x80\x94the worl\xe2\x80\xa6'"
2018-12-19 23:58:48,"b'RT @nytimes: NYT investigation: Internal Facebook records show that the company gave Microsoft, Amazon, Netflix and other tech giants far m\xe2\x80\xa6'"
2018-12-19 23:58:46,b'RT @certcc: Microsoft has released an out-of-band update for a JScript scripting engine vulnerability that is being exploited in the wild:\xe2\x80\xa6'
2018-12-19 23:58:45,"b""RT @hannawallach: Okay, real talk time. I'm super burned out. Program chairing NeurIPS for two years in a row was brutal, especially when c\xe2\x80\xa6"""
2018-12-19 23:58:44,b'Microsoft\xe2\x80\x99s Halo-themed prosthetic arm will make kids feel like Master Chief \xe2\x80\x93 The Verge https://t.co/HYadGnFMjw'
2018-12-19 23:58:40,b'RT @VisualStudio: We are pleased to announce that the December release of the #Python Extension for #VSCode is now available! The new relea\xe2\x80\xa6'
2018-12-19 23:58:35,b'RT @videogamedeals: Follow CAG &amp; Retweet for a Chance to Win 1 of 5 Codes for Subnautica (X1) by @Subnautica. Ends 9PM ET. https://t.co/I94\xe2\x80\xa6'
2018-12-19 23:58:29,b'RT @briankrebs: Microsoft has just released an emergency (unscheduled) patch to fix a zero-day security hole in Internet Explorer https://t\xe2\x80\xa6'
2018-12-19 23:58:25,"b'RT @Razer: Built for couch and desktop gaming, we\xe2\x80\x99ve teamed up with @Microsoft to bring you the all-new Razer Turret for @Xbox One\xe2\x80\x94the worl\xe2\x80\xa6'"
2018-12-19 23:58:23,b'RT @GREENKB22ZSZ: Going live on Twitch!! Starting out with some PubG stop by an enjoy the stream  @Twitch @SupStreamers @Xbox #xboxone #twi\xe2\x80\xa6'
2018-12-19 23:58:18,b'RT @nickconfessore: The Times obtained internal Facebook documents showing in intricate detail how Facebook allocated user data to \xe2\x80\x9cpartner\xe2\x80\xa6'
2018-12-19 23:58:15,b'RT @VisualStudio: We are pleased to announce that the December release of the #Python Extension for #VSCode is now available! The new relea\xe2\x80\xa6'
2018-12-19 23:58:15,b'RT @TannerFoust: Drift this? I would! Try it yourself in #ForzaHorizon4 #FortuneIslandExpansion out now on @Xbox and #Windows10. Post your\xe2\x80\xa6'
2018-12-19 23:58:05,b'RT @USCERT_gov: Microsoft Releases Security Updates https://t.co/Zau0Lktdls #NCCIC #cyber #cybersecurity #infosec'
2018-12-19 23:58:01,b'RT @verge: Microsoft\xe2\x80\x99s Halo-themed prosthetic arm will make kids feel like Master Chief https://t.co/q6BTLWWOPN https://t.co/6CuLtUU2Xd'
